user,Nodes,Ways,Relations
Statick,322,56,0
vcabezas,321,25,0
chrisfow87,320,57,0
Edwin Puco,319,50,0
DavidMolinaCalle,318,27,0
DianaPalaciosUTPL,317,91,0
Danny Wiggins,316,63,0
GBoulanger,316,103,0
JZ07016UTPL,316,41,0
RyanKuntz1,316,30,0
jeffpabaz,315,66,0
Carlos_Martínez_H,312,71,0
estollman,312,68,0
Alexander Socola,311,1,0
jose ayala,311,10,0
Adrián Chucuri,309,8,0
edgrmdna,309,33,0
jugdemon,309,64,0
margainclanrobr,309,84,0
Txiki,309,16,0
Julio César Muñoz Rengifo,307,102,0
likeaqueen,307,19,0
bufferclip,306,85,0
Kathyutpl,306,84,0
tarafa9,306,43,0
EPN Erick,304,70,0
JonathanV,302,9,0
Danny Jose,300,24,0
Patty_Collaguazo,300,61,0
Rafa Sesena,300,26,0
BladyMir,299,15,0
Israel Chacha,299,104,0
DamNn,298,41,0
Geographie_Sonne,298,67,0
andrea_forNepal,297,79,0
Carlopez,297,37,0
Humberto_Yances,296,42,0
Jessica Quishpe,296,24,0
JFOOutpl,296,157,0
jofrealex,296,23,0
ec ai,295,51,0
rwcaraguay,295,64,0
Tatys G,295,69,0
annacarol,294,21,1
Ibeth,294,19,0
pattylu,294,85,0
Amanda Sosnowski,291,37,0
Efraín,291,30,0
Fabián Sinchi,291,8,0
Jonas Rugys,291,13,0
Mike Millner,291,78,0
Refrigerator,291,53,0
Sicmar,291,47,0
Ana D,290,14,0
arafin,290,64,0
Lidiabornás,290,85,0
Raul Bastidas,290,6,0
gadm_happy,289,8,0
GRILLEDCHEESELOL,288,16,0
4b696d,286,14,0
Ana Sayago,286,99,0
Fasan565,284,55,0
Maria_va,284,25,0
Trish Graham,284,38,0
TylerOSM,284,47,0
ramiroaznar,283,38,0
danielanaluisa,282,63,0
EstebanCuñez14,281,24,0
Johha,281,30,0
NWS,281,60,0
peregrino78,281,8,0
Abadal,280,58,0
dorispineda,280,10,0
JasMart00,280,59,0
Pablo_Andres1993,280,29,0
abugel,277,11,0
cristian94,277,91,0
insua,277,2,0
Jose Romero,277,48,0
MelissaWM,277,32,0
thkcy,277,56,0
Thorum,277,33,0
Henrry Andrés,276,26,0
la_Lu,275,26,0
Gang Li,274,19,0
Lore Abad,274,83,0
Alberto_Geograma,273,21,0
Miguel A Songor,273,31,0
Yayo00:),273,6,0
EPN DanielSamaniego,272,6,0
j3m,272,7,0
kmcordovaUTPL,272,95,0
EmiliaTA,271,61,0
victormg,271,87,0
Kelasa,270,36,0
PAMELAGUAMAN,270,35,0
DannoEpn,269,63,0
Calebtimo,268,17,0
karithO dayana,268,25,0
katherine Lasluisa,268,81,0
mbela,268,37,0
Natalia Arruda,268,17,0
EPN-Krlozz,267,18,0
jsoofi,267,23,0
Juli1987,267,60,0
YachaqRuna,267,19,0
AndraC,266,11,0
gotthegist,265,54,0
nrprzsnm,264,47,0
rebecca50,264,116,0
retep,264,71,0
SebastienBu,264,99,0
Lhonorio,262,28,0
Ugo M,262,42,0
Ale88val,261,23,0
JHERIBERTOMA,260,51,0
Karla Saldaña,259,74,0
pastorolda,259,39,0
Lenin Paladines,258,66,0
Carli_M,257,24,0
EpnKCárate,257,79,0
juliomir,257,66,0
JoelZamora,256,48,0
walterwhite,256,23,0
eortega27a,255,12,0
ANA MARIA PIEDRA,254,63,0
DennisHiggins71,254,58,0
GeoCrazy,254,96,0
Franny Murillo,253,12,0
majopizarro98,253,39,0
Andrescm94,252,19,0
ilgeografoanomalo,251,54,0
ljmartinezm,251,51,0
jinalfoflia,250,5,0
Lewis-atar,250,3,0
Maria Mercedes Cobo,250,56,0
danielias,249,21,0
@davidsaso,248,59,0
Susyta,248,59,0
ddffit,247,7,0
Karto1975,247,37,0
Katherine Chicaiza,247,68,0
Mariuxi Mabel,246,10,0
Rosenia_@utpl,246,3,0
caice,245,12,0
mateoneira,245,104,0
weezery,245,64,0
henryiuce,244,24,0
tlacoyo,244,35,0
Alzeir,243,47,0
funkbag,148,243,0
bondah,242,25,0
SandraLisette,115,242,0
Pau C,241,42,0
Edison Saico,240,36,0
geonano,240,23,0
Joanpolop,240,11,0
Andy Giler,238,47,0
VanessaGM,237,106,0
yamah,237,128,0
Isma_98,236,7,0
pedrosab,236,43,0
Codemin,235,21,0
Diego0101,235,73,0
EPN_andresparra,235,11,0
TheKetke,234,38,0
EPN_christian,232,38,0
EPNvillaltaluis,232,53,0
earevalo,231,19,0
sgilman,231,42,0
EPNdiegonavas,229,32,0
EPNsamir,229,1,0
Evelyn Iza,229,16,0
GeoSebbo,229,19,0
hhdont,228,92,0
jbarton3,228,53,0
PXZB,228,56,0
Taïs Grippa,228,53,0
aidoiaga,227,2,0
Danyel23,227,60,0
jessbeutler,227,37,0
Diego96,226,44,0
akutnjak,224,57,0
Amy_85,224,0,0
wasix,224,4,0
ssantiago2009,223,30,0
Thalia Lopez,222,43,0
Zhubert,222,14,0
FernandoLL,221,29,0
jalp_ec,221,50,0
byronsauco,220,25,0
CodyVickroy,220,50,0
Lyanne,220,79,0
ihemond,219,28,0
Karlyta1993,219,44,0
kevinmontehermoso,219,62,0
EPN_SOLE_G,217,27,0
Gylve,217,1,0
ramcer,217,2,0
Bolivar Q,216,67,0
Farhana Fayez,215,6,0
Nicole Macas,215,104,0
Palak Matta,214,8,0
abkol,213,15,0
elenotes,213,11,0
EPN-NiRoU,213,43,0
ioanao,213,8,0
Suthakaran,213,19,0
AmyLewis,212,58,0
Giblet,212,23,0
Greg Wolfenden xAd,212,2,0
Harry Wood,212,43,0
Arnau Ochoa,211,40,0
EPN,211,36,0
Lili_G,211,56,0
Irwin Rashid,210,56,0
Luis Nicolás Moncayo,210,18,0
puenktchen,210,8,0
swise,210,30,0
nahles,209,26,0
rbhamjee,209,17,0
Vitalts,209,13,0
crisfercarrionm,208,48,0
jdotmurphy,208,4,0
John Joseph Carter,208,41,0
pizzaallday,208,11,0
simonmikkelsen-dk,208,95,0
VanessaAmores85,208,43,0
vlloret,208,37,0
gaurab,207,36,0
javimap,207,52,0
ScottGoodwin,207,59,0
EPNSebasitan,206,113,0
josue ochoa,206,50,0
[LM]SimurDiera,205,12,0
Ashlin,205,40,0
EPN_EdisonGV,205,0,0
adrian_cabre,204,95,0
Dlarr,204,130,0
JennyPenaranda,204,46,0
MarcosGe,204,31,0
herverpeju,203,47,0
IMDigger,203,12,0
dziabaducha,202,3,0
Jessica W,202,56,0
CronopioDavid,201,49,0
Danilojs,201,37,0
GeorgiaHallArup,201,46,0
illya2400,201,38,0
jastudillo,201,14,0
Mélanie Vé,201,55,0
Israel Herrera,200,66,0
jomida,200,18,0
JuanTapia22,200,35,0
richMoR,200,15,0
rtbaker,200,12,0
jamil1997,199,40,0
jfhumbser,199,68,0
murphymitchel,199,41,0
Danydeio,198,61,0
ferpro,198,10,0
josealejopila,198,79,0
CyrusDreams,197,0,0
Atma,196,15,0
Chetan_Gowda,196,19,0
srividya_c,196,70,0
madisonmercer,195,74,0
Santiago Guzman04,195,1,0
urbanoide,195,45,0
dwardio,194,73,0
Rico De La Funk,194,104,0
Ludoo,193,1,0
michelle casdel,193,40,0
Pollo Jaramillo,193,43,0
Sapz,193,12,0
eraunio,192,31,0
leoramos,192,6,0
Robertototo,192,2,0
JenniferS,191,10,0
marhs,191,65,0
mesakennedy,191,25,0
Paul Mariuzzo Raynaud,191,129,0
Rory Nealon,191,18,0
LuisASierraP,190,50,0
shotwellhowe,189,12,0
coleman,188,38,0
EPN201120409,188,36,0
alex sampedro,187,49,0
Carlos Ubidia,187,19,0
lesliep67,187,18,0
Molly_Rhodes,186,21,0
sebgg,93,186,0
sistemambiente,166,186,0
Unc MapDoctor,186,50,0
EPN NewBornDavid,185,23,0
Jose B,185,15,0
Josselyn Narvaez,185,34,0
Michelle Cherrez,185,10,0
Sofia Vergara,185,14,0
Eduardo Obando,184,37,0
pablo179,184,1,0
EpnNelson,183,62,0
Karito Carangui,183,17,0
Shanalya,183,54,0
EPN Santiago Loya,182,57,0
felipesilvamolina,182,9,0
israriosc,182,32,0
sebasauquilla,182,51,0
EPNKarenP,181,42,0
Esti07,181,28,0
jairoguerrero,181,53,0
Joleetee,181,20,0
Mary Chiroque,181,16,0
MEMOGUZ,181,57,0
Mitika32,181,43,0
ebuford,180,17,0
luisfe124,180,0,0
meviusa,180,103,0
Micky Castro,180,39,0
santya Alvarz,180,28,0
Alexander_David19,179,13,0
Capacapa,179,18,0
Jean Carlo Marchesini,179,23,0
SantiCapelo,179,50,0
Sujan_Dahal,179,40,0
JCROMANO,177,9,1
JCTOAPANTA,177,24,0
narami,177,21,0
CSARCH,176,70,0
shuvertg,175,9,0
silvia09,175,49,0
silviailardi,175,15,0
Trenetta0424,175,7,0
j_ramon,174,15,0
KarlaVictoria,174,28,0
sitio,174,38,0
Christina-Heidelberg,173,22,0
Daniela Minchala,173,34,0
epn-alex-chugchilan,4,173,0
karthik_game,173,60,0
RamiroPáez,173,9,0
EPN_Edwin,172,11,0
joost schouppe,172,12,0
Renffz,172,57,0
RzvFyqt,172,2,0
Seb_mend,172,36,0
andreacarrasco,171,28,0
EPNmaxxii26,171,60,0
jowilkin,171,9,0
Sebash96,171,53,0
alconco,170,15,0
angache,170,2,0
barbaraulrike,170,40,0
francescamissiroli,170,22,0
Horsehead,169,24,0
Quotydie,169,23,0
SaskiaW,169,32,0
EcuadorFreedom,168,0,0
EPN201010531,168,29,0
GDR!,168,68,0
luisxavier,168,26,0
Tamara León,168,13,0
Voltair7,168,52,0
JXMalo,167,31,0
5R-MFT,166,126,0
Claudia Patiño,166,2,0
Epn_BryanGermán,166,14,0
josedavidgonzalezcaceres,166,22,0
Mario Calderón,166,40,0
OlatzCI,166,29,0
paul lorca,166,36,0
Ronald Eras,166,32,0
welkerpd,166,26,0
Homero Paltán,165,7,0
Patricia Solis,165,34,0
virginiaho,165,31,0
voluntario3,165,30,0
ALEJANDRO PEÑA LEON,164,0,0
bddavidson,164,26,0
Henry Dobell,164,18,0
JuanMejia,164,2,0
Tong Qiu,164,139,0
Aboudrar Said,163,17,0
Bryan Ríos,163,49,0
Chrisigv,163,58,0
mauribusta,163,26,0
EllenG,162,45,0
Freddy14,162,64,0
mhernan,73,162,0
sadam Huarocc,162,23,0
uyadiego,162,27,0
Epn Daniel,161,38,0
EPN_Diego,161,89,0
jaguarles,161,6,0
lweld,161,17,0
Marce0525,161,67,0
Siana40,161,18,0
Cesarx011,90,160,0
Lenska,160,100,0
Coopere,159,44,0
EPNfernando_mariño,159,12,0
EPNJuan27,159,55,0
JC Bravo,159,18,0
YalCat,159,12,0
JoseViñanUTPL,157,1,0
ALEYDA YAMILE PINILLA ZAMBRANO,156,28,0
Brflores,156,9,0
Elisa Sandoval,156,7,0
Andrew Pearson,155,9,0
EPNjazminrodriguez,155,54,0
Madeline_the_Geographer,155,6,0
Patricia Malaina,155,44,0
Patrickra,155,26,0
Daniel_C,154,5,0
deym777,154,12,0
lonanm2,154,4,0
rasaZ,154,19,0
Stephanie Morales,154,7,0
ysOsm,154,35,0
Charlzzz,105,152,0
Epn Vanesa,152,41,0
EPN_Karla_Y,152,10,0
michu_leja,152,58,0
andritas,151,22,0
EPN_ChristianCastillo,150,44,0
Brian Z,149,13,0
Carla Price,149,44,0
Victor Hugo Pérez,149,9,0
Gabichito,148,62,0
alejandro-gp,147,7,0
Audita,147,17,0
Suleima Vaca,147,19,0
WinstonKahnArup,147,7,0
Aleishadns,146,39,0
eelksap,146,11,0
Michelle Medina,146,9,0
Serena1989,146,18,0
SilviaLuma,146,6,0
Giacomo1990,145,42,0
Lrmoreno,145,10,0
Nick_005,145,3,0
NormVero,145,36,0
Yurmily Barrera,145,42,0
Agatha Jetra,144,38,0
Brigeth,144,1,0
Cajamarca,144,40,0
Danielle86,144,34,0
Mar_Arce,144,82,0
nando9811,144,21,0
K´ssandra,143,0,0
mikel_f,143,10,0
R4sig,143,59,0
Alex Parra,142,39,0
altrabajoenbici,142,32,0
Antoine Lucic,142,25,0
Arantxautpl,58,142,0
Carmen Pérez,142,0,0
rgg11,142,18,0
Mikel Velázquez,141,53,0
unique422,141,57,0
Carlos Escudero,140,23,0
EPN-julio194,140,9,0
andresv_utpl,82,139,0
david zarie,139,23,0
EPNJona1993,139,20,0
Katherine Hurtado,139,22,0
Manoj Thapa,139,45,0
sleiding,139,10,0
EPN_Vanessa_Ch,137,65,0
jgc,137,127,0
Harmony不累,136,5,0
markgeorgeallen,133,136,0
Mattia_Manara,136,51,0
ParisaFalakdin,136,45,0
Daniel Freire,135,20,0
H2Olima00,135,29,0
OptimistIB,135,21,0
TrIGgAtRA300,135,35,0
GeoIvan,134,39,0
gyel72,134,8,0
katty Marcela,134,116,0
klayt,134,28,0
angelica_,133,24,0
epn_daven1995,133,16,0
EPNkevin,133,15,0
Gin Yaoshen,133,40,0
Heavy metal,133,34,0
Jaws85,133,6,0
anebophil,132,11,0
mariatulovsky,132,44,0
mony sanchez,132,19,0
Patricia Zambrano,132,11,0
svshaffer,132,14,0
Didi_R,131,36,0
Gabriela Ordonez,131,65,0
mlta,131,16,0
proyectar,131,30,0
DavidoRaza,0,130,0
MpProducciones,130,30,0
Peter Rushforth,130,2,0
ThomFi,130,68,0
algarinr,129,1,0
bpnyc,35,129,0
dkocal,129,0,0
EPNjessicaramon,129,26,0
marce23-g,129,30,0
mari2004,129,0,0
NatashaGuadalupe,129,17,0
njsmurf1813,129,42,0
osm_hamp,129,34,0
ovruni,129,1,0
Phil Shipley,129,0,0
GeoCum,128,37,0
Jessica_D,128,14,0
Marilyn Mocha P,127,15,0
EPN-paulesteban,126,16,0
Razu Ahmed,126,31,0
YieldMapper,126,8,0
EricG1010,125,51,0
erno,125,84,0
Gaby Loza,125,97,0
pol puig,125,20,0
EPN_AlexandraGranda,124,14,0
PanchoBr,124,31,0
Pter27,124,102,0
SharronE,124,33,0
Sutne,124,45,0
wambacher,124,9,0
wtaco,124,24,0
Cinthya Gualotuña,123,62,0
Fernando Quezada,39,123,0
lyctkel,123,6,0
Nick Tepper,123,28,0
Oscar Montalvo,123,18,0
Ana Pau Monsalve,122,40,0
Josh scheible,122,6,0
Margarita Yépez,122,4,0
MattSidor,122,21,0
Osmonav,122,9,0
sofiabuitron,122,26,0
aba22,121,34,0
Epn - Gustavo,121,22,0
EPN Tania,121,39,0
Isaac Estey,121,22,0
Isabel Peñaherrera,121,15,0
KatherinePinto,121,3,0
khartuin,121,61,0
Seb Verhoef,121,30,0
Bert deBruijn,120,2,0
debjhirsch,120,4,0
Melita7,120,5,0
RonnieLand,120,17,0
Teresa Gordillo,93,120,0
escafons,119,10,0
jdrivas,119,13,0
meganscully,119,33,0
Valentin Talan,119,59,0
jessajck,118,28,0
JUANJARQ,118,22,0
Paola Villagran,118,4,0
PhilKnight,118,37,0
vanessareyes0,118,20,0
arokh04,117,33,0
EPN_DENNIS_V,117,16,0
ItaloFM,117,2,0
leonardoluis77,117,28,0
Maria Augusta,117,28,0
jamutiti,116,37,0
jorge_epn,116,20,0
AlejuZ,114,16,0
chenfang,114,8,0
FatimaDelgado,114,9,0
Laura Cabezas,114,82,0
MaximilianoGutierrez,114,4,0
PacoEcija,114,53,0
Tim Fähling,114,3,0
Ari_Apezteguia,113,19,0
Joselyn_UTPL,113,32,0
dfrc,112,6,0
Epn-Vero,8,112,0
EPNsandy,112,10,0
Magil23,112,26,0
twisteroni,51,112,0
xAd_Omar,112,4,0
adions025,111,34,0
Daysi Ayala,111,43,0
Phenomenal,111,12,0
Aidas801,110,13,0
caro_cc,110,38,0
Evelyn Calispa,110,20,0
javandrex,110,32,0
mmartic,110,8,0
NOSHO,110,6,0
SFOC,110,6,0
GGreko,109,13,0
Jon Jewell,109,1,0
Kaut_Kids,109,22,0
lvitouse,109,24,0
rabarbanel,109,11,0
tomasup,109,18,0
andjhvall,108,1,0
Diego Rogel,108,23,0
epn marco,108,0,0
EPNVictorHugo,108,15,0
hawkeyepierc,108,22,0
sarahsarah123,108,9,0
alejo ramon,107,12,0
EPNdarwinv,107,25,0
MariJoV_EcuGeo,107,10,0
SamDB,107,37,0
Stefano frittelli,107,26,0
YingQ,107,1,0
alxdan,106,27,0
Camila Armijos,106,4,0
Claudio Borja,106,14,0
GregWhite83,106,4,0
ahenry63,105,25,0
Bylortep,105,15,0
genwin,105,18,0
Israel Lara,105,21,0
Julen Fdez de Labastida,105,16,0
Kajomi,105,18,0
MAYORMAC,105,0,0
andi_the_mapper,104,20,1
andres torres,104,4,0
Arjun24,104,16,1
Felipe Rosero,104,3,0
lestrada,104,41,1
Maitune,104,25,0
Milos BG,0,104,0
RICARDOGEOLO,104,3,0
SofiaJ,104,6,0
69LEKKERDING69,103,8,1
EPN Jonathan J,103,26,0
EPN Michelle Puga,103,17,0
RockmanEc,103,22,0
Sandra678,103,7,0
Cartai,102,56,0
epnMiguel,102,53,0
Omar_Delgado,102,10,0
Rodrigo Masache,102,24,0
epescopo,101,25,0
EPN Ricardo Ortiz,101,42,0
BryanVergara,44,100,0
Danilooo,100,34,0
Dianiiss,100,30,0
Mark Ortiz,100,3,0
tyanez,100,55,0
Apo2109,99,53,0
Estefanía Solano,99,26,0
reittiloki,99,14,0
RICARDO_MARCO,99,16,0
sariah torres,99,7,0
kmiloupy,98,78,0
Pablo_S,98,3,0
Adriana Martinez,97,72,0
Daniel Cajilema,97,22,0
malloryfoster70,97,8,0
Uranzu,97,14,0
Andreas Binder,96,0,0
ccasado,96,11,0
danielch,95,32,0
Enrique Idrovo,95,23,0
klever sinche,95,11,0
withoutrope,95,19,0
captain_slow,94,6,0
ghiberti,94,19,0
Max1221,93,10,0
Ale09_,92,21,0
Alechamizo,92,19,0
AVBR,92,18,0
EPNedwin,92,26,0
GERMAN AREVALO,92,10,0
GvNdJ,92,56,0
HannaSjostrom,92,1,0
huescar,92,21,0
ivanlasso,92,68,0
karina iza,92,30,0
MAPconcierge,92,1,0
maria_ruiz,92,2,0
Nadhya,92,11,0
acostansi,20,91,0
EPNdartf,91,8,0
joe the best,91,17,0
LeticiaRuiz,91,42,0
Alvaro Conde Perez,90,1,0
EPNJF,90,15,0
Javier Armas Navarrete,90,12,0
levin02,90,41,0
RickMaster,90,34,0
stefdeuring,90,23,0
alexsinailinct,89,27,0
DoKoUk,89,2,0
EPN-Stalin,89,6,0
felipecuellar100,89,16,0
Oslec,89,21,0
RONNY LOAIZA,89,65,0
sacora,89,7,0
vbaldassi,89,34,0
Endika Sanchez,88,11,0
FranXavier96,88,27,0
GinaroZ,88,7,0
juvelas,88,7,0
macuortiz,88,3,0
Mariano1,88,14,0
rabindranath1234,88,38,0
Alexis Matute,87,28,0
Alisson1017,87,23,0
Bigg_Salad,87,39,0
David  Aguilar Alberca,57,87,0
Santiago Guazhambo,87,49,0
EPNcheln,86,25,0
EPNVanessaMena,86,10,0
Juan Aillon,86,4,0
xavier chango guano,86,28,0
alejandro hernandez quesada,85,11,0
byron24,85,25,0
crisalexa6,85,48,0
EPN_AndresReyes,85,0,0
EPNCristianLara,85,10,0
EPNmarjury,85,18,0
Graciela_Caro,85,8,0
LHNC,85,21,0
MarcelaN,85,14,0
sbsalvarez,85,15,0
VeritoGua,85,7,0
Alexander Moya Chiluiza,84,21,0
Camilo:),84,12,0
carmen orellana,84,14,0
Diego Rugel,84,16,0
Jesus Cambero,84,31,1
Juadi 57,84,16,0
juanpablovinueza,84,19,0
Katherine Velasco,84,7,0
Laleska Leal,6,84,0
Patricio2040,84,36,0
EPNCristian,83,33,0
EPNDaniebro,83,16,0
felipecb,83,12,0
Joha Gutierrez Tabango,83,10,0
Jusseth,83,15,0
perraso,14,83,0
RobDeGraaf,83,23,0
siiri_b,83,1,0
davwolf91,4,82,0
Erika Aguirre,82,63,0
ozalamea,82,17,0
relow,82,19,0
SIGIRL,82,6,0
StevenRamos,20,82,0
Alejo Lopez,81,18,0
BlaireOddo,23,81,0
Fernanda Dávila,81,32,0
Gualberto87,81,3,0
Ismael Salamea,81,8,0
luis_armijos_UTPL,81,17,0
uyentruong,81,5,0
CRISTIAN PO,80,16,0
droep,80,20,0
Eleandra,80,10,0
EPN_alexfer,80,4,0
Juliana Ritter,80,20,0
Katrienm,80,20,0
NEORGman,80,59,0
cberard,79,15,0
DipanshuGlobal,79,4,0
EPNMerwinGOF,79,11,0
EPNPaola,79,21,0
fernando1414,79,34,0
Romel Vázquez,79,10,0
Willy_Matute,79,2,0
EPN_cheberizimo,78,11,0
FTA,78,12,0
Martin Tircio,78,3,0
aewoolf,77,12,0
Christian Pintado,77,8,0
DisasterNate,27,77,0
EPN-Ronald,77,23,1
EPNGabriela,77,35,0
goerin,77,20,0
htac,77,23,0
Mónica,77,28,0
PaulViv,77,17,0
Yoh@n@,77,17,0
jonathan guzman,76,10,0
jorge villacis,76,0,0
sebassfnEPN,76,11,0
andrinagn,75,13,0
Axel David Paz Montero,75,12,0
Beccah,75,21,0
jesusjl,75,17,0
Byron Escorza,18,74,0
Chrisgg,74,24,0
Cranemania,74,9,0
JavierI,74,6,0
jota12wladimir,68,74,0
Juddy Bravo,26,74,0
Luishivam,74,14,0
Matt Whittle,74,29,0
vincienzo,74,1,0
Vodia,74,45,0
Biron Toro,73,17,0
chalosalvador,73,39,0
Diego F Reyes Y,48,73,0
EPNLaura,73,14,0
Jessica Olivo,73,45,0
<0174,72,30,0
alejandropb,72,6,0
Alfred Sawatzky,72,12,0
Churos,72,13,0
EPNGaloMoreta,72,20,0
Estefy538,72,1,0
maantonieta,72,9,0
mainato,72,2,0
scheggia1,72,12,1
alexaj11,71,45,0
EDEN CANO,71,16,0
Pablo Suarez,35,71,0
wilsontronix,71,22,0
AlexGUTPL,70,1,0
EPNDavidVallejo,70,34,0
EpnSamantaMinayo,70,15,0
Gabynoboa,70,10,0
Agustin,69,0,0
Armando Rivera,69,28,1
chmoscu,69,0,0
clibar,69,3,0
EPN CParedes,69,21,0
epncarlitos,69,23,0
MaGregor,69,37,0
Marsupium,69,10,0
Ning Lu,69,14,0
retndlsr,69,8,0
taniamuñoz,69,21,0
AliciaRN,68,48,0
Armin Schmidt,68,0,0
carlosgis,68,9,0
CésarCastro280,68,8,0
David Herrera,68,5,0
dsproal,68,5,0
EPN Cristian,68,40,0
epngrapa,68,17,0
fabiennetheijs,68,17,0
Karla Tapia,68,16,0
mdgordo,68,4,0
Alexandra Ortiz,67,23,0
DanielFryy,67,21,0
Hakuch,67,20,0
Marco Antonio M,67,59,0
Residente,67,14,0
shiguera,67,15,0
superfrite,67,1,0
Beverito,66,23,0
Ewenc,66,18,0
giovassat,66,61,0
gmcjesse,66,19,0
Lucía Sáez Gabarrón,66,7,0
M_Marañon,66,30,0
Dylanjo3,28,65,0
Epn Eddy,42,65,0
Johann Moeller,65,8,0
Lauragm,65,29,0
PatricioSolorzano,65,14,0
rusosnith,65,12,0
Tirico,19,65,0
VirginiaJane,65,27,0
Caro G,64,9,0
CaroOSM,64,6,0
Daniela_Figueroa,64,34,0
Dannyalex,64,15,0
epn_mariana,64,44,0
EPN_SebastianMuñoz,64,6,0
Fredy Grefa,46,64,0
jritter,64,2,0
LorenaMB,64,5,0
Mary Ramírez,64,1,0
Shirleyf22,64,3,0
Vinicio Bravo,64,19,0
Andres Esparza,63,18,0
Elias Sanchez Gonzalez,63,10,0
KatieFayman,63,3,0
QRen,63,30,0
santii143,63,13,0
adruian,20,0,62
Grateful_tedd,62,12,0
bkowshik,61,21,0
Blas Alemán,61,14,0
Epn-Jhoana,20,61,0
EPNCristian Betancourt,61,30,0
Geo_S_R,61,22,0
GeoManu,61,4,0
Jorge Delgado García,61,6,0
Josselyn Muentes,61,48,0
Kate Rosa,61,6,0
Richar Stalin Lanche Puga,61,33,0
Rob_Cep,61,3,0
Anders Hjalmarson,60,1,0
Im_Juan,60,17,0
juancolla,60,2,0
dgceliUTPL,59,1,0
ebe,59,8,0
Washington Salinas,59,18,0
_A_C_R_25_,58,40,0
aurgilez,58,0,0
EPNJosePalacios,58,18,0
fevs,58,48,0
jorge luis yucra huaytalla,58,2,0
nifreddo,58,14,0
Oscarepv,58,55,0
pozoutpl,58,33,0
SteveOzo,58,48,0
Annaveronica,57,1,0
eggie,57,5,0
EPNJohannaArias,57,12,0
Faith Taylor,57,8,0
graceanne17,57,11,0
harrierco,57,2,0
Jhonny Zaruma,57,15,0
LUCIE74,57,5,0
nanozbit,25,57,0
am_quiros,56,10,0
Dalton29,56,3,0
